"Your Kindle Notes For:",,,
"SHERLOCK HOLMES: DAS GETUPFTE BAND UND ANDERE DETEKTIVGESCHICHTEN (SHERLOCK HOLMES REIHE 1) (GERMAN EDITION)",,,
"by Arthur Conan Doyle",,,
"Free Kindle instant preview:",,,
"https://a.co/bVmDpUj",,,
----------------------------------------------,,,
,,,
"Annotation Type","Location","Starred?","Annotation"
"Highlight (Yellow)","Page 20","","undeutlichen"
"Highlight (Yellow)","Page 20","","Worte"
"Highlight (Yellow)","Page 20","","hervor:"
"Highlight (Yellow)","Page 20","","deutete,"
"Highlight (Yellow)","Page 20","","grässlicher"
"Highlight (Yellow)","Page 20","","Krampfanfall"
"Highlight (Yellow)","Page 20","","erstickte."
"Highlight (Yellow)","Page 20","","herbeiholen"
"Highlight (Yellow)","Page 20","","bereits"
"Highlight (Yellow)","Page 20","","Schlafrock"
"Highlight (Yellow)","Page 20","","entgegengeeilt."
"Highlight (Yellow)","Page 20","","trat,"
"Highlight (Yellow)","Page 20","","Bewusstsein"
"Highlight (Yellow)","Page 20","","flößte"
"Highlight (Yellow)","Page 20","","ein"
"Highlight (Yellow)","Page 20","","nützte"
"Highlight (Yellow)","Page 20","","schwächer"
"Highlight (Yellow)","Page 20","","Umstände,"
"Highlight (Yellow)","Page 20","","Klang"
"Highlight (Yellow)","Page 20","","wahrgenommen?"
"Highlight (Yellow)","Page 20","","schwören?«"
"Highlight (Yellow)","Page 20","","»Dasselbe"
"Highlight (Yellow)","Page 20","","Gerichtsarzt"
"Highlight (Yellow)","Page 20","","Totenschau."
"Highlight (Yellow)","Page 20","","zwar"
"Highlight (Yellow)","Page 20","","durchaus"
"Highlight (Yellow)","Page 21","","untersuchte"
"Note","Page 21","","Camila maravilhosa"
